6 interesting moves
##########NEW##############
Move 97:320s. -81 -1 3 62 turn;[4, 5]
Move 96:310s. -76 0 3 62 turn;[4, 5]
Move 95:310s. -76 0 2 62 turn;[4, 5]
Move 94:310s. -76 5 1 62 turn;[4, 5]
Move 93:310s. -76 4 0 61 straight;[]
Move 92:310s. -76 3 0 60 short_turn;[3, 4]
Move 91:310s. -76 -1 1 60 short_turn;[3, 4]
Move 90:290s. -73 0 1 60 short_turn;[3, 4]
Move 89:290s. -73 0 2 59 short_turn;[3, 4]
Move 88:290s. -73 4 1 59 short_turn;[3, 4]
Move 87:290s. -73 -1 0 58 straight;[]
Move 86:280s. -68 5 0 58 straight;[]
Move 85:280s. -68 4 0 57 straight;[]
Move 84:280s. -68 0 3 56 turn;[2, 3]
Move 83:280s. -68 0 2 56 turn;[2, 3]
Move 82:280s. -68 3 1 56 turn;[2, 3]
Move 81:280s. -68 -1 0 55 straight;[]
Move 80:260s. -62 4 0 55 straight;[]
Move 79:260s. -62 3 0 54 straight;[]
Move 78:260s. -62 0 3 53 turn;[1, 2]
Move 77:260s. -62 0 2 53 turn;[1, 2]
Move 76:260s. -62 2 1 53 turn;[1, 2]
Move 75:260s. -62 1 0 52 straight;[]
Move 74:260s. -62 -1 0 51 straight;[]
Move 73:210s. -55 0 0 51 straight;[]
Move 72:210s. -55 0 0 50 straight;[]
Move 71:210s. -55 1 0 49 turn;[1, 2]
Move 70:210s. -55 2 0 48 straight;[]
Move 69:210s. -55 3 0 47 straight;[]
Move 68:210s. -55 4 0 46 straight;[]
Move 67:210s. -55 5 0 45 straight;[]
Move 66:210s. -55 -1 0 44 straight;[]
Move 65:200s. -50 5 0 44 straight;[]
Move 64:200s. -50 0 0 43 turn;[4, 5]
Move 63:200s. -50 0 0 42 straight;[]
Move 62:200s. -50 4 0 41 straight;[]
Move 61:200s. -50 3 0 40 short_turn;[3, 4]
Move 60:200s. -50 -1 1 40 short_turn;[3, 4]
Move 59:180s. -47 0 1 40 short_turn;[3, 4]
Move 58:180s. -47 0 2 39 short_turn;[3, 4]
Move 57:180s. -47 4 1 39 short_turn;[3, 4]
Move 56:180s. -47 -1 0 38 straight;[]
Move 55:170s. -40 5 0 38 straight;[]
Move 54:170s. -40 4 0 37 straight;[]
Move 53:170s. -40 3 0 36 straight;[]
Move 52:170s. -40 0 2 35 short_turn;[1, 2]
Move 51:170s. -40 2 1 35 short_turn;[1, 2]
Move 50:170s. -40 0 0 34 short_turn;[1, 2]
Move 49:170s. -40 1 0 33 short_turn;[1, 2]
Move 48:170s. -40 -1 2 32 short_turn;[1, 2]
Move 47:130s. -34 0 2 32 short_turn;[1, 2]
Move 46:130s. -34 0 1 32 short_turn;[1, 2]
Move 45:130s. -34 2 0 31 straight;[]
Move 44:130s. -34 3 0 30 straight;[]
Move 43:130s. -34 4 0 29 straight;[]
Move 42:130s. -34 5 2 28 short_turn;[4, 5]
Move 41:130s. -34 -1 1 28 short_turn;[4, 5]
Move 40:120s. -30 5 1 28 short_turn;[4, 5]
Move 39:120s. -30 0 0 27 short_turn;[4, 5]
Move 38:120s. -30 0 0 26 straight;[]
Move 37:120s. -30 4 0 25 straight;[]
Move 36:120s. -30 -1 0 24 straight;[]
Move 35:110s. -23 5 0 24 straight;[]
Move 34:110s. -23 4 0 23 straight;[]
Move 33:110s. -23 3 0 22 straight;[]
Move 32:110s. -23 0 2 21 short_turn;[1, 2]
Move 31:110s. -23 2 1 21 short_turn;[1, 2]
Move 30:110s. -23 0 0 20 short_turn;[1, 2]
Move 29:110s. -23 1 0 19 straight;[]
Move 28:110s. -23 -1 0 18 straight;[]
Move 27:70s. -19 0 0 18 straight;[]
Move 26:70s. -19 2 0 17 straight;[]
Move 25:70s. -19 0 0 16 short_turn;[1, 2]
Move 24:70s. -19 1 0 15 short_turn;[1, 2]
Move 23:70s. -19 -1 1 15 short_turn;[1, 2]
Move 22:30s. -13 0 1 15 short_turn;[1, 2]
Move 21:30s. -13 0 0 14 straight;[]
Move 20:30s. -13 2 0 13 straight;[]
Move 19:30s. -13 3 0 12 straight;[]
Move 18:30s. -13 4 0 11 straight;[]
Move 17:30s. -13 5 0 10 straight;[]
Move 16:30s. -13 -1 0 9 straight;[]
Move 15:20s. -9 5 0 9 straight;[]
Move 14:20s. -9 0 3 8 turn;[3, 4]
Move 13:20s. -9 0 2 8 turn;[3, 4]
Move 12:20s. -9 4 1 8 turn;[3, 4]
Move 11:20s. -9 -1 0 7 straight;[]
Move 10:10s. -6 0 0 7 straight;[]
Move 9:10s. -6 5 0 6 straight;[]
Move 8:10s. -6 4 0 5 straight;[]
Move 7:10s. -6 -1 2 4 short_turn;[4, 5]
Move 6:0s. -0 0 2 4 short_turn;[4, 5]
Move 5:0s. -0 5 1 4 short_turn;[4, 5]
Move 4:0s. -0 4 0 3 straight;[]
Move 3:0s. -0 3 0 2 straight;[]
Move 2:0s. -0 2 0 1 straight;[]
Move 1:0s. -0 1 0 0 straight;[]
Move 0:0s. -0 -1 0 -1 straight;[]
##########NEW##############
Move 137:430s. -114 -1 0 95 straight;[]
Move 136:420s. -111 0 0 95 straight;[]
Move 135:420s. -111 5 0 94 straight;[]
Move 134:420s. -111 4 0 93 straight;[]
Move 133:420s. -111 -1 9 92 k_turn;[4, 5, 5]
Move 132:410s. -107 0 9 92 k_turn;[4, 5, 5]
Move 131:410s. -107 0 0 91 straight;[]
Move 130:410s. -107 5 0 90 straight;[]
Move 129:410s. -107 4 9 89 short_k_turn;[3, 4, 4]
Move 128:410s. -107 -1 0 88 straight;[]
Move 127:400s. -103 0 0 88 straight;[]
Move 126:400s. -103 0 0 85 straight;[]
Move 125:400s. -103 5 0 84 straight;[]
Move 124:400s. -103 4 0 83 straight;[]
Move 123:400s. -103 -1 0 82 straight;[]
Move 122:390s. -97 5 0 82 straight;[]
Move 121:390s. -97 4 0 81 straight;[]
Move 120:390s. -97 3 0 80 straight;[]
Move 119:390s. -97 0 0 79 turn;[2, 3]
Move 118:390s. -97 0 0 78 straight;[]
Move 117:390s. -97 2 0 77 straight;[]
Move 116:390s. -97 -1 0 76 straight;[]
Move 115:360s. -92 0 0 76 straight;[]
Move 114:360s. -92 3 0 75 straight;[]
Move 113:360s. -92 4 0 74 turn;[4, 5]
Move 112:360s. -92 0 1 74 turn;[4, 5]
Move 111:360s. -92 5 0 73 straight;[]
Move 110:360s. -92 -1 0 72 straight;[]
Move 109:350s. -86 5 0 72 straight;[]
Move 108:350s. -86 4 0 71 straight;[]
Move 107:350s. -86 0 9 70 k_turn;[2, 3, 3]
Move 106:350s. -86 0 0 69 straight;[]
Move 105:350s. -86 3 0 68 straight;[]
Move 104:350s. -86 2 0 67 turn;[2, 3]
Move 103:350s. -86 -1 0 66 straight;[]
Move 102:320s. -81 0 0 66 straight;[]
Move 101:320s. -81 3 0 65 turn;[3, 4]
Move 100:320s. -81 0 1 65 turn;[3, 4]
Move 99:320s. -81 4 0 64 straight;[]
Move 98:320s. -81 5 0 63 straight;[]
Move 97:320s. -81 -1 3 62 turn;[4, 5]
Move 96:310s. -76 0 3 62 turn;[4, 5]
Move 95:310s. -76 0 2 62 turn;[4, 5]
Move 94:310s. -76 5 1 62 turn;[4, 5]
Move 93:310s. -76 4 0 61 straight;[]
Move 92:310s. -76 3 0 60 short_turn;[3, 4]
Move 91:310s. -76 -1 1 60 short_turn;[3, 4]
Move 90:290s. -73 0 1 60 short_turn;[3, 4]
Move 89:290s. -73 0 2 59 short_turn;[3, 4]
Move 88:290s. -73 4 1 59 short_turn;[3, 4]
Move 87:290s. -73 -1 0 58 straight;[]
Move 86:280s. -68 5 0 58 straight;[]
Move 85:280s. -68 4 0 57 straight;[]
Move 84:280s. -68 0 3 56 turn;[2, 3]
Move 83:280s. -68 0 2 56 turn;[2, 3]
Move 82:280s. -68 3 1 56 turn;[2, 3]
Move 81:280s. -68 -1 0 55 straight;[]
Move 80:260s. -62 4 0 55 straight;[]
Move 79:260s. -62 3 0 54 straight;[]
Move 78:260s. -62 0 3 53 turn;[1, 2]
Move 77:260s. -62 0 2 53 turn;[1, 2]
Move 76:260s. -62 2 1 53 turn;[1, 2]
Move 75:260s. -62 1 0 52 straight;[]
Move 74:260s. -62 -1 0 51 straight;[]
Move 73:210s. -55 0 0 51 straight;[]
Move 72:210s. -55 0 0 50 straight;[]
Move 71:210s. -55 1 0 49 turn;[1, 2]
Move 70:210s. -55 2 0 48 straight;[]
Move 69:210s. -55 3 0 47 straight;[]
Move 68:210s. -55 4 0 46 straight;[]
Move 67:210s. -55 5 0 45 straight;[]
Move 66:210s. -55 -1 0 44 straight;[]
Move 65:200s. -50 5 0 44 straight;[]
Move 64:200s. -50 0 0 43 turn;[4, 5]
Move 63:200s. -50 0 0 42 straight;[]
Move 62:200s. -50 4 0 41 straight;[]
Move 61:200s. -50 3 0 40 short_turn;[3, 4]
Move 60:200s. -50 -1 1 40 short_turn;[3, 4]
Move 59:180s. -47 0 1 40 short_turn;[3, 4]
Move 58:180s. -47 0 2 39 short_turn;[3, 4]
Move 57:180s. -47 4 1 39 short_turn;[3, 4]
Move 56:180s. -47 -1 0 38 straight;[]
Move 55:170s. -40 5 0 38 straight;[]
Move 54:170s. -40 4 0 37 straight;[]
Move 53:170s. -40 3 0 36 straight;[]
Move 52:170s. -40 0 2 35 short_turn;[1, 2]
Move 51:170s. -40 2 1 35 short_turn;[1, 2]
Move 50:170s. -40 0 0 34 short_turn;[1, 2]
Move 49:170s. -40 1 0 33 short_turn;[1, 2]
Move 48:170s. -40 -1 2 32 short_turn;[1, 2]
Move 47:130s. -34 0 2 32 short_turn;[1, 2]
Move 46:130s. -34 0 1 32 short_turn;[1, 2]
Move 45:130s. -34 2 0 31 straight;[]
Move 44:130s. -34 3 0 30 straight;[]
Move 43:130s. -34 4 0 29 straight;[]
Move 42:130s. -34 5 2 28 short_turn;[4, 5]
Move 41:130s. -34 -1 1 28 short_turn;[4, 5]
Move 40:120s. -30 5 1 28 short_turn;[4, 5]
Move 39:120s. -30 0 0 27 short_turn;[4, 5]
Move 38:120s. -30 0 0 26 straight;[]
Move 37:120s. -30 4 0 25 straight;[]
Move 36:120s. -30 -1 0 24 straight;[]
Move 35:110s. -23 5 0 24 straight;[]
Move 34:110s. -23 4 0 23 straight;[]
Move 33:110s. -23 3 0 22 straight;[]
Move 32:110s. -23 0 2 21 short_turn;[1, 2]
Move 31:110s. -23 2 1 21 short_turn;[1, 2]
Move 30:110s. -23 0 0 20 short_turn;[1, 2]
Move 29:110s. -23 1 0 19 straight;[]
Move 28:110s. -23 -1 0 18 straight;[]
Move 27:70s. -19 0 0 18 straight;[]
