286s
##########NEW##############
Move 94:350s. -79 2 1 71 turn;[1, 2]
Move 93:350s. -79 -1 0 70 straight;[]
Move 92:320s. -74 0 0 70 straight;[]
Move 91:320s. -74 3 0 69 straight;[]
Move 90:320s. -74 2 0 68 straight;[]
Move 89:320s. -74 0 0 67 turn;[1, 2]
Move 88:320s. -74 1 0 66 straight;[]
Move 87:320s. -74 -1 0 65 straight;[]
Move 86:280s. -70 0 0 65 straight;[]
Move 85:280s. -70 2 0 64 turn;[2, 3]
Move 84:280s. -70 3 0 63 straight;[]
Move 83:280s. -70 4 0 62 straight;[]
Move 82:280s. -70 -1 0 61 straight;[]
Move 81:270s. -63 5 0 61 straight;[]
Move 80:270s. -63 4 0 60 straight;[]
Move 79:270s. -63 3 0 59 straight;[]
Move 78:270s. -63 0 3 58 turn;[1, 2]
Move 77:270s. -63 0 2 58 turn;[1, 2]
Move 76:270s. -63 2 1 58 turn;[1, 2]
Move 75:270s. -63 1 0 57 straight;[]
Move 74:270s. -63 -1 0 56 straight;[]
Move 73:220s. -56 0 0 56 straight;[]
Move 72:220s. -56 0 0 55 straight;[]
Move 71:220s. -56 1 0 54 turn;[1, 2]
Move 70:220s. -56 2 0 53 straight;[]
Move 69:220s. -56 3 0 52 straight;[]
Move 68:220s. -56 4 0 51 straight;[]
Move 67:220s. -56 5 0 50 straight;[]
Move 66:220s. -56 -1 0 49 straight;[]
Move 65:210s. -49 5 0 49 straight;[]
Move 64:210s. -49 0 0 48 turn;[4, 5]
Move 63:210s. -49 4 0 47 straight;[]
Move 62:210s. -49 3 0 46 straight;[]
Move 61:210s. -49 2 0 45 straight;[]
Move 60:210s. -49 0 0 44 turn;[1, 2]
Move 59:210s. -49 1 0 43 turn;[1, 2]
Move 58:210s. -49 -1 0 42 straight;[]
Move 57:170s. -43 0 0 42 straight;[]
Move 56:170s. -43 0 0 41 straight;[]
Move 55:170s. -43 2 0 40 straight;[]
Move 54:170s. -43 3 0 39 k_turn;[3, 4, 4]
Move 53:170s. -43 4 1 39 k_turn;[3, 4, 4]
Move 52:170s. -43 5 0 38 straight;[]
Move 51:170s. -43 -1 0 37 straight;[]
Move 50:160s. -39 5 0 37 straight;[]
Move 49:160s. -39 0 0 36 turn;[4, 5]
Move 48:160s. -39 0 0 35 straight;[]
Move 47:160s. -39 4 0 34 straight;[]
Move 46:160s. -39 -1 0 32 straight;[]
Move 45:150s. -32 5 0 32 straight;[]
Move 44:150s. -32 4 0 31 straight;[]
Move 43:150s. -32 0 3 30 k_turn;[2, 3, 3]
Move 42:150s. -32 0 2 30 k_turn;[2, 3, 3]
Move 41:150s. -32 3 1 30 k_turn;[2, 3, 3]
Move 40:150s. -32 2 0 29 straight;[]
Move 39:150s. -32 1 0 28 straight;[]
Move 38:150s. -32 -1 0 27 straight;[]
Move 37:110s. -27 0 0 27 straight;[]
Move 36:110s. -27 0 0 26 straight;[]
Move 35:110s. -27 2 0 25 turn;[2, 3]
Move 34:110s. -27 3 1 25 turn;[2, 3]
Move 33:110s. -27 4 0 24 straight;[]
Move 32:110s. -27 -1 0 23 straight;[]
Move 31:100s. -21 5 0 23 straight;[]
Move 30:100s. -21 4 0 22 straight;[]
Move 29:100s. -21 3 0 21 straight;[]
Move 28:100s. -21 0 3 20 turn;[1, 2]
Move 27:100s. -21 0 2 20 turn;[1, 2]
Move 26:100s. -21 2 1 20 turn;[1, 2]
Move 25:100s. -21 -1 0 19 straight;[]
Move 24:70s. -16 0 0 19 straight;[]
Move 23:70s. -16 3 0 18 straight;[]
Move 22:70s. -16 0 9 17 k_turn;[1, 2, 2]
Move 21:70s. -16 2 0 16 straight;[]
Move 20:70s. -16 1 0 15 k_turn;[1, 2, 2]
Move 19:70s. -16 -1 0 14 straight;[]
Move 18:30s. -11 0 0 14 straight;[]
Move 17:30s. -11 0 0 13 straight;[]
Move 16:30s. -11 2 0 12 turn;[2, 3]
Move 15:30s. -11 3 1 12 turn;[2, 3]
Move 14:30s. -11 4 0 11 straight;[]
Move 13:30s. -11 -1 0 10 straight;[]
Move 12:20s. -6 5 0 10 straight;[]
Move 11:20s. -6 4 0 9 straight;[]
Move 10:20s. -6 0 9 8 k_turn;[2, 3, 3]
Move 9:20s. -6 0 0 7 straight;[]
Move 8:20s. -6 3 0 6 straight;[]
Move 7:20s. -6 -1 0 5 straight;[]
Move 6:0s. -0 0 0 5 straight;[]
Move 5:0s. -0 0 9 4 sk_turn_bfr;[3, 4, 4]
Move 4:0s. -0 4 0 3 straight;[]
Move 3:0s. -0 3 0 2 k_turn;[3, 4, 4]
Move 2:0s. -0 2 0 1 straight;[]
Move 1:0s. -0 1 0 0 straight;[]
Move 0:0s. -0 -1 0 -1 straight;[]
##########NEW##############
Move 110:380s. -93 -1 0 80 straight;[]
Move 109:370s. -89 0 0 80 straight;[]
Move 108:370s. -89 5 0 79 straight;[]
Move 107:370s. -89 0 2 78 short_turn;[3, 4]
Move 106:370s. -89 4 1 78 short_turn;[3, 4]
Move 105:370s. -89 -1 0 77 straight;[]
Move 104:360s. -86 0 0 77 straight;[]
Move 103:360s. -86 5 0 76 straight;[]
Move 102:360s. -86 4 0 75 straight;[]
Move 101:360s. -86 -1 0 74 straight;[]
