4 interesting moves
##########NEW##############
##########NEW##############
Move 48:170s. -41 -1 0 42 straight;[]
Move 47:160s. -35 5 0 42 straight;[]
Move 46:160s. -35 4 0 41 straight;[]
Move 45:160s. -35 0 9 40 k_turn;[2, 3, 3]
Move 44:160s. -35 0 0 39 straight;[]
Move 43:160s. -35 3 0 38 straight;[]
Move 42:160s. -35 2 0 37 straight;[]
Move 41:160s. -35 -1 0 36 straight;[]
Move 40:110s. -28 0 0 36 straight;[]
Move 39:110s. -28 0 0 35 turn;[1, 2]
Move 38:110s. -28 1 0 34 straight;[]
Move 37:110s. -28 2 0 33 straight;[]
Move 36:110s. -28 3 0 32 straight;[]
Move 35:110s. -28 4 0 31 straight;[]
Move 34:110s. -28 5 0 29 straight;[]
Move 33:110s. -28 -1 0 28 straight;[]
Move 32:100s. -21 0 0 28 straight;[]
Move 31:100s. -21 5 0 27 straight;[]
Move 30:100s. -21 4 0 26 straight;[]
Move 29:100s. -21 3 0 25 straight;[]
Move 28:100s. -21 2 0 24 straight;[]
Move 27:100s. -21 0 0 23 turn;[1, 2]
Move 26:100s. -21 1 0 22 straight;[]
Move 25:100s. -21 -1 0 21 straight;[]
Move 24:60s. -15 0 0 21 straight;[]
Move 23:60s. -15 0 0 20 k_turn;[2, 3, 3]
Move 22:60s. -15 2 0 19 straight;[]
Move 21:60s. -15 3 0 18 straight;[]
Move 20:60s. -15 4 9 17 k_turn;[3, 4, 4]
Move 19:60s. -15 5 0 16 straight;[]
Move 18:60s. -15 -1 0 15 straight;[]
Move 17:50s. -11 5 0 15 straight;[]
Move 16:50s. -11 0 0 14 straight;[]
Move 15:50s. -11 0 0 11 straight;[]
Move 14:50s. -11 4 0 10 straight;[]
Move 13:50s. -11 -1 0 9 straight;[]
Move 12:40s. -4 0 0 9 straight;[]
Move 11:40s. -4 5 9 8 short_k_turn;[4, 5, 5]
Move 10:40s. -4 4 0 7 straight;[]
Move 9:40s. -4 0 0 6 turn;[3, 4]
Move 8:40s. -4 3 0 5 straight;[]
Move 7:40s. -4 2 0 4 straight;[]
Move 6:40s. -4 1 0 3 straight;[]
Move 5:40s. -4 -1 0 2 straight;[]
Move 4:0s. -0 0 0 2 straight;[]
Move 3:0s. -0 2 0 1 turn;[2, 3]
Move 2:0s. -0 3 1 1 turn;[2, 3]
Move 1:0s. -0 4 0 0 straight;[]
Move 0:0s. -0 -1 0 -1 straight;[]
